eid,pid,post
64d87aad-16fa-4a75-9ae7-af8af3cee323,20468103,监事
4bc13963-473c-44b6-a127-74a6dd7ccc8c,20055762,监事
3adc810d-96c2-497e-beac-1a5dd10c12a3,20735324,监事
5006881e-9b5c-4402-99cc-7fd43555e927,20668246,监事
72825575-406d-45d1-90aa-628e4f33190f,20475946,监事
4e2ee877-31f4-42d5-9de8-6ccc6b4afcfc,20014982,监事
2d239bbc-3c94-4a53-9e5f-86d8afc3d4dc,20163733,监事
36c54c5b-d7c7-4375-8fa5-a45908200907,20744477,监事
4b7f1c83-5b3d-4da7-b30e-df75eaf47041,20029740,监事
3305766e-e827-4a5a-9e80-18a1e4fd6a3d,20055343,监事
c09b324e-8075-441d-b1a5-6e2b2afc5e02,20575537,监事
0aa4e294-387d-42bf-9b2f-4ce4b90634d7,20050132,监事
412d1163-4318-4dd6-a6b4-022cd98d03b4,20457865,监事
386b57f3-2823-425a-b835-d0175df15d43,20612966,监事
d0a60697-353e-429b-b890-8d6b8540f855,20556327,监事
f4fd349e-9361-4377-b8cc-515d21956d8c,20668226,监事
d8e37b82-3b5c-4e35-a420-02c5a8ad136b,20724593,监事
a820ee0f-e253-4e87-a536-3a1f4d471fb1,20644080,监事
6cdab923-188f-4796-9948-d7186b081173,20028950,监事
9359df53-b481-45d2-bdf5-03acc5bc89b9,20681336,监事
fdd0ad88-6ec5-419b-9f58-48be460eb372,20728398,监事
9cd7e676-30c7-499b-9329-707b34788ae5,20009514,监事
6d751a59-694e-4dbd-9f54-be1c6f2186fa,20070791,监事
107b1574-b5d4-4cc9-be21-ec36835bd3f9,20593138,监事
3305766e-e827-4a5a-9e80-18a1e4fd6a3d,20145729,监事
2bd8ec9b-d2d5-4c1a-9504-a64cdceda4a2,20060473,监事
dc3fc566-8aac-4445-be44-c175389277de,20022063,监事
16fc32ed-7a7b-44e2-9edb-198417e435db,20071593,监事
1a532119-bc49-41ab-92a7-5e48ca3acabb,20001462,监事
9a9ebf95-d6a8-4008-b0f0-2ab077e0f4a9,20035711,监事
d47406c5-bea2-4822-bc08-c5fe26fec920,20614496,监事
ca91eb89-47ae-4283-9c06-2934b69294b5,20665700,监事
6dade2f5-6901-4206-87d8-09d29d3445c8,20367453,监事
2b0f198a-24ac-450e-ba6e-36c5c21b8022,20615373,监事
eea0cb9f-4282-4c27-af12-b63e94f222f1,20151008,监事
4b7f1c83-5b3d-4da7-b30e-df75eaf47041,20159331,监事
93257101-74a7-44d1-a865-2795f7398c4d,20314434,监事
c8911d61-57b7-49bb-b829-2eb664c8c562,20279261,监事
9cd7e676-30c7-499b-9329-707b34788ae5,20335122,监事
9fc4988c-d4db-42ca-b739-dcb67c79658f,20173382,监事
2b4abac8-4120-49e8-b87b-d253322aaea8,20260903,监事
18af736c-06e1-40ed-85db-497597c9d588,20675843,监事
77dc1c54-96cc-49e3-9239-b904abfeb7ea,20469763,监事
6bbb32c1-b059-47bc-9644-cb176f584aab,20008780,监事
a1f143df-047f-4cf0-8a59-01a945398f3d,20559866,监事
9d067a46-ae0c-46d7-a73a-777622ab157c,20743743,监事
fd4a3e3b-f67f-4629-bad9-a0c8e2ecc2cc,20004565,监事
d0a60697-353e-429b-b890-8d6b8540f855,20649010,监事
15b76ace-df8e-4675-afd4-749b9fa3a855,20248571,监事
d8e37b82-3b5c-4e35-a420-02c5a8ad136b,20202961,监事
0125e29f-f208-42a5-a06b-2b3c1cdf3b58,20028454,监事
87cdd633-1dff-4110-b597-14ee51810a3a,20058724,监事
a5a4e2eb-3d36-4a83-a584-a1fc8586be11,20475971,监事
20162b2f-d693-4a10-94bb-7ba388d1a0d8,20017784,监事
52abb31f-9280-48ce-a05d-efd4515bcc85,20588549,监事
0ca7b8b0-0c42-405e-976a-028ea24d82df,20314514,监事
6bbb32c1-b059-47bc-9644-cb176f584aab,20013887,监事
6b1562bb-0ab1-4402-9dc9-67865f8364e4,20406777,监事
aa454288-cff6-4e5a-a782-e783da73611d,20518584,监事
9c89b35c-e5fe-4c30-a2ec-4e7f71d52ab4,20125749,监事
386b57f3-2823-425a-b835-d0175df15d43,20433586,监事
086247a5-a682-4697-b5c0-d4c13788cb49,20658481,监事
2cecaa52-2808-487b-b1ab-36e15ee46358,20047853,监事
412d1163-4318-4dd6-a6b4-022cd98d03b4,20041755,监事
9fc4988c-d4db-42ca-b739-dcb67c79658f,20322131,监事
7bac7933-b2e5-469f-a284-fdeb48d626ba,20036574,监事
b13a9104-3eb5-48f0-8e51-4a991417c623,20213320,监事
941ee487-d8e5-44bb-8ca0-d9c2c4fe647f,20055851,监事
d19b50d9-72a9-4bec-a74d-d745e64350bf,20183501,监事
56b76c94-f986-4af1-a915-34ca79c432bf,20013887,监事
55116ee7-96de-408c-ba50-6c2e27146590,20009943,监事
7afe48a5-7d2a-4a74-b468-19ebc593d052,20188704,监事
ac505660-a839-4aea-84f3-470c4347cf7a,20029830,监事
5f9fde41-d34a-485a-b742-dd01e627bedd,20013485,监事
6cdab923-188f-4796-9948-d7186b081173,20665846,监事
e12ab92f-b8cf-440c-8bd3-f80b2d0e01f9,20003626,监事
809cb61e-9957-4313-ac59-0b7fb712a2e2,20278126,监事
9fc4988c-d4db-42ca-b739-dcb67c79658f,20556329,监事
0ca7b8b0-0c42-405e-976a-028ea24d82df,20001767,监事
a7a2c2f8-42ba-4e47-8992-3d5c5b2835de,20012038,监事
a17c2f90-7a9f-4407-8c75-5bc19de2a955,20015686,监事
6ecbd578-0052-43fa-af43-d59472981d21,20355367,监事
aba131d8-038a-4962-b21f-0fb69bcc74e8,20573831,监事
b3fed5da-5831-4dcf-b41b-43fa90318dc4,20065859,监事
c7abef8a-c7de-4406-91c9-763389a7e361,20005206,监事
0ccf1b6c-2152-4dda-bd3a-8451d35dd819,20047188,监事
8bdcb3d8-4eda-4ad9-8838-2251c7310f30,20657054,监事
edc5b3df-fcd7-4e50-bca3-20d11cde08f2,20166652,监事
12373795-9cdc-4b6a-a245-25cc386bc680,20009081,监事
c5ff0951-20c0-4126-9b09-ee689be843c7,20029829,监事
ab72c722-2662-46ae-b6a5-6a33d55514bb,20020592,监事
dfbd6397-06a4-4019-be2d-6746262fbc08,20651626,监事
4bee6f5f-7ad2-4f1f-bde9-553322ec6ebc,20153836,监事
49018540-37fd-446a-a71a-03f5f700fa72,20145995,监事
3072a2e4-4800-45ca-8981-e5a4b341763c,20457859,监事
57da4be3-6ba4-4268-a8e3-7f85f22613b5,20166851,监事
d5489767-e9ba-4f69-a231-958b906a7bb2,20593929,监事
e55d41ad-4d55-40a8-aa55-679303a557ec,20654238,监事
0fbdb147-75d7-4a12-9935-e484dcf2cab3,20664596,监事
4b51f6d1-0a8f-4acd-9f89-e27987b7395e,20612548,监事
fef41582-7e8e-4a88-ba58-d4023f167a40,20073733,监事
ab3406de-0b0e-46a6-85c0-3c0aa9829af4,20734388,监事
487e49ef-c964-438c-8617-a4dd6213bece,20022817,监事
3d04361c-30bf-433e-bcc0-f8988ef13518,20058465,监事
877a4533-b298-4e8e-ad75-2de31c5912fd,20043375,监事
d6618d14-f690-48d2-9191-475c236cdc80,20195298,监事
3306557a-4f6a-4bcb-a089-cd18a077b577,20025748,监事
c4f688ec-d7c4-42fa-af9f-cbd8461ae102,20009103,监事
b55b4519-b1ac-48d1-98b0-ed2a66740bb2,20605184,监事
52abcb18-0380-4ba1-a3c1-d155fbbfaece,20593928,监事
77dc1116-b281-4c10-abb2-f3fd9758e0c4,20055211,监事
3c045d39-5480-4042-b483-b3063e8d1454,20022647,监事
48592dd7-cc49-483f-9de1-348f43ead070,20564602,监事
33bc6723-6b51-4eee-a46a-c2198c982cf9,20014281,监事
aa7d72c9-c8bb-474e-bd71-030d8f9f6c26,20514348,监事
15de6a81-d469-45b5-a3f7-9ff16d08244b,20002657,监事
48a1a1f4-051f-494d-903a-aaeb1c203beb,20064796,监事
e5dd87bc-aabb-4b18-b572-6e8914167373,20020610,监事
95c09da6-60d7-4259-b738-cdc272e0a3ee,20008924,监事
ad1da9eb-31af-45ed-ba24-a1949c82378b,20357790,监事
62903153-413a-40a4-867c-5bc6bbee9699,20071592,监事
52abb31f-9280-48ce-a05d-efd4515bcc85,20017198,监事
941ee487-d8e5-44bb-8ca0-d9c2c4fe647f,20126669,监事
fb2c6327-1363-4ee6-b578-01cd8c07fb77,20518586,监事
380ae86a-5208-4262-ae1f-e4523638a658,20018749,监事
55604f46-f260-4ab2-9eff-a8668f96a20a,20011779,监事
791ccd27-b693-42fb-9628-95eab2f46e87,20411173,监事
ccb5548d-f7ae-49ea-b5b5-fb3d9805345e,20011929,监事
003ffe3f-d012-40b6-9cd6-ba94cf235ae2,20398565,监事
e64a38e1-1884-426d-87ae-3bb042ba6fd1,20357774,监事
0c29f988-cc0e-424a-8b74-0ba61120066f,20547663,监事
941ee487-d8e5-44bb-8ca0-d9c2c4fe647f,20012136,监事
84ee79ec-9d15-463e-86a5-549fe052fe38,20009829,监事
9ebace54-7324-475b-afd1-db975c1a504e,20377279,监事
93dd6a3a-a4e4-4a01-a6ea-2f47931f4669,20053299,监事
52abcb18-0380-4ba1-a3c1-d155fbbfaece,20020445,监事
ad385bd2-fdbb-4263-bfd2-caefd28c3ca8,20320810,监事
d47406c5-bea2-4822-bc08-c5fe26fec920,20086155,监事
ae3a1ffd-7ab5-4ab8-8241-63ad525324c8,20020592,监事
66c24a2b-c90e-4fe2-8bef-bab11d4fd050,20363184,监事
4f9b3ed4-09b7-4f02-b5eb-cc1690ef045a,20006670,监事
1f344158-89f2-48a9-87f3-e058aca21a16,20171633,监事
218a2135-e39c-4888-beb0-fc69ea8f731a,20722262,监事
409fea81-76d7-41a1-be08-8ecf0d789b5f,20423327,监事
b42236db-c272-4f64-ae98-100ad00672f3,20058716,监事
af869911-7147-46fe-9935-6f39e7286da8,20030669,监事
80307d75-9f70-47a1-a10a-2857cf8d06c6,20689763,监事
2bd8ec9b-d2d5-4c1a-9504-a64cdceda4a2,20069705,监事
d08ff984-59e2-412a-bc45-7377e58f42b3,20047091,监事
d19b50d9-72a9-4bec-a74d-d745e64350bf,20165600,监事
a3e5b898-bdb7-4811-9fee-df2ac2babb12,20263209,监事
6d751a59-694e-4dbd-9f54-be1c6f2186fa,20614496,监事
960ae8f3-a290-48d4-8ee3-fae53f92198e,20067054,监事
3072a2e4-4800-45ca-8981-e5a4b341763c,20126284,监事
e5dd87bc-aabb-4b18-b572-6e8914167373,20331766,监事
a4565930-9af4-4c14-bb4f-6dc64a91b8da,20069705,监事
d86e1568-f5b9-452a-a9df-554a293006b8,20038878,监事
e3584d5a-df3c-4011-b497-276926915b2f,20051178,监事
217b8b05-43c8-455f-b330-9c804f3d66a2,20277687,监事
289d7cce-df96-4e32-a206-172e778e3de3,20502398,监事
cd564493-a86b-40ac-a310-5bbcf3eb3a75,20008494,监事
4a88fba2-2503-4ba8-a54f-d391a797c7d7,20024528,监事
7bac7933-b2e5-469f-a284-fdeb48d626ba,20245917,监事
6e84d298-84f4-42f8-a1d4-e7dca43f96af,20056510,监事
7685cc6f-b6f5-4baa-af01-6ee235f12624,20168951,监事
48592dd7-cc49-483f-9de1-348f43ead070,20066860,监事
ab3406de-0b0e-46a6-85c0-3c0aa9829af4,20018050,监事
4b7181d3-b4bf-4844-a654-9e8ab0b7a015,20280556,监事
76cfafaa-d764-44db-8626-1870437c436b,20036849,监事
09d547bc-bb2b-4ed2-8ed6-a60f27e1eee7,20175538,监事
c75b3a90-a0c4-4b64-ae48-1be9473d16eb,20359464,董事
15b76ace-df8e-4675-afd4-749b9fa3a855,20552076,董事
e5b503a9-d91e-4882-a5b0-271e5b3084b6,20047646,董事
ab873564-044e-42db-8347-4c25eeee5874,20039098,董事
6ea42f6d-1f49-457c-b73a-2c76376741b4,20608851,董事
e61b06a9-dd01-4148-9e7a-2b1a64c2eba9,20071591,董事
0119443f-a2f2-400d-a970-f8ab0d856f4a,20060490,董事
517bd8cd-5ccc-4db1-a874-9bf9363f7aef,20025748,董事
bd8f58d1-f204-4874-a126-f796b7687b0a,20060492,董事
a5a4e2eb-3d36-4a83-a584-a1fc8586be11,20360872,董事
3faf8dc9-e065-45f3-a172-298650a62d36,20071576,董事
9f29c3a5-cd6e-4eb8-83ce-b2ab3de1b1ee,20002297,董事
b13a9104-3eb5-48f0-8e51-4a991417c623,20002853,董事
d42a679e-938a-45f8-8546-518e0e6f27e4,20049692,董事
fd4a3e3b-f67f-4629-bad9-a0c8e2ecc2cc,20022818,董事
7d41454e-b1dc-40bb-9033-1bf34b81f46b,20014674,董事
0119443f-a2f2-400d-a970-f8ab0d856f4a,20008961,董事
6ddbf94a-ddf9-48dd-8cb4-d03d8b249eb6,20188704,董事
ac386ac1-ec6d-4fdb-b1a7-83ecd383e1ad,20050483,董事
0e4372b7-2e8f-4d27-8158-c314b6123bad,20034560,董事
0c29f988-cc0e-424a-8b74-0ba61120066f,20061224,董事
a6cd52b0-2ef1-4a9e-8a3b-9e8a872a4701,20532611,董事
9db686bd-e226-40cf-a64d-30cb0fce91a3,20032049,董事
9cd7e676-30c7-499b-9329-707b34788ae5,20018649,董事
ea2cae30-cea3-4dd6-ad73-fb43ebf1519d,20055346,董事
7ee4992e-3185-44a1-a5c9-b9b3b05fad1a,20014317,董事
c239711b-8698-48a7-bfb1-31d90cfb911b,20046192,董事
67a58bc1-8e2e-4275-9e77-b285595d9e35,20041585,董事
710951e7-d10b-44e4-ae20-f6701cd7ed5e,20249003,董事
73249574-2237-4a34-a866-36e49deb3e5f,20070852,董事
2ca172b6-6d93-4499-8393-0faa3ea97d7d,20049572,董事
92f39f96-8258-499f-896a-379fc7e4bf0a,20033235,董事
1c923a76-c1f2-4fbd-86f6-b5f53deb3a93,20340870,董事
0fbdb147-75d7-4a12-9935-e484dcf2cab3,20155264,董事
77dc1c54-96cc-49e3-9239-b904abfeb7ea,20601023,董事
1ab7f05b-c620-48d3-88cd-e80f05e48d01,20155354,董事
73249574-2237-4a34-a866-36e49deb3e5f,20266602,董事
9857ca48-fa49-4016-bf01-551dfb5e92ff,20043037,董事
1ab35277-0668-46d5-8a2b-47c82e5646d6,20670125,董事
ba6f7209-9bfa-4bd2-b5cd-f86b42bd3c3a,20032049,董事
41022599-020f-497a-a29c-64e7d436e269,20041612,董事
f3c5b26d-8e5a-45c8-8204-a9b8df2838ba,20300294,董事
d42f9bec-0a0b-4519-90bd-ce92d6f41518,20729050,董事
ab3406de-0b0e-46a6-85c0-3c0aa9829af4,20003453,董事
c7204a40-b280-4dc7-bac6-0ce1a063b226,20482891,董事
9cd7e676-30c7-499b-9329-707b34788ae5,20006206,董事
884081c3-a22c-4166-a3ff-d62c12bbac8a,20542685,董事
f5f3f258-e117-412b-9016-ed6fee769b0b,20051163,董事
d0a60697-353e-429b-b890-8d6b8540f855,20062358,董事
a1dcb93d-f060-4dc6-a90b-003a4fed99b7,20048019,董事
6928aa48-2071-4a73-8810-673046ad436c,20009579,董事
733c78a4-13c2-465f-bf82-707ffee3e275,20020613,董事
508bf06e-135d-4b13-bd98-de83b826b5b9,20610347,董事
bf69c1d0-beab-4d53-85ec-9ab9daf0f952,20486798,董事
931cdaae-91b1-4d1e-8600-114cb2ba922e,20702984,董事
83cd513d-b04d-44c6-a61e-54979bb0d629,20047573,董事
d989034e-ab6e-46ac-aff6-e0500571e555,20321723,董事
29c04961-b9f7-4b51-89f4-a6bc681750ec,20567765,董事
ea1f7238-9422-489e-a672-1abd33ff0db0,20297521,董事
ea3ee12d-0165-4dd7-8e52-1e1f7dbcde7e,20014789,董事
2b63d6db-9772-435a-a2f8-cf803e3c4b55,20475979,董事
5d546cc7-295d-44ca-918a-ad4e105d788f,20013531,董事
989f393c-0d73-459b-87c8-6103796111e4,20002895,董事
f3c5b26d-8e5a-45c8-8204-a9b8df2838ba,20028910,董事
e695af15-b2c1-406f-8e9e-51644a7526d6,20475967,董事
2b454517-8189-40d2-93ac-74b06e4366d0,20008509,董事
b42236db-c272-4f64-ae98-100ad00672f3,20055967,董事
d587287e-a1a5-49cd-87fc-caf6cc899f70,20153836,董事
9520b365-80f1-4508-8303-0b4c486f9248,20693783,董事
2d990ba3-10b9-4b51-904e-f71c7ec6a676,20031038,董事
eea0cb9f-4282-4c27-af12-b63e94f222f1,20033235,董事
6533487f-b00e-4fe3-a0f6-fd5840f96ec8,20573835,董事
c0e4ff19-8c7c-4e09-a49e-dd9bce35116d,20566798,董事
0e8a1c5f-e52f-42dc-b91c-5c5daa1daed9,20722239,董事
48592dd7-cc49-483f-9de1-348f43ead070,20173258,董事
a9a2744b-fbaf-46c4-8fdc-ae4d17fc7d34,20031890,董事
a820ee0f-e253-4e87-a536-3a1f4d471fb1,20421536,董事
edc5b3df-fcd7-4e50-bca3-20d11cde08f2,20654234,董事
26c78844-59d0-498c-923b-0987dd898e19,20694747,董事
a04374b9-1517-4bbf-9dc5-5ac378a6d1b5,20001771,董事
bc6f244c-02b0-4ebc-b4a6-d5d24bee4cc5,20322058,董事
cd2dfed8-a398-4604-8b73-d222ac5fe4e8,20025746,董事
48592dd7-cc49-483f-9de1-348f43ead070,20320037,董事
ade6b228-30d0-4292-a850-4109696803bd,20467069,董事
4c125f13-77de-41bc-b204-869917b93193,20039937,董事
d08ff984-59e2-412a-bc45-7377e58f42b3,20044225,董事
e1a168ba-ba2e-42c7-aa75-1174eade6bc8,20004520,董事
9201e3bb-822c-4286-9e80-fbf7e7f229a4,20705519,董事
86b9f538-7f88-4e99-ace7-aff8e1f27409,20029831,董事
3dc5dca8-edd4-441d-8fe7-7edace3b499a,20220509,董事
d8a6648a-ccca-48e8-8824-e9b2314afcdf,20001452,董事
7241615d-a9fa-49ce-b409-e4d37cedbc06,20477981,董事
f36e0da3-4527-486f-8fdb-eeaa9703c01e,20322295,董事
48a1a1f4-051f-494d-903a-aaeb1c203beb,20070857,董事
971588f5-b788-4cf3-ac0f-c37cecfab525,20596849,董事
d2107c91-e89b-4f79-88ff-4ed91bcb1110,20151008,董事
517bd8cd-5ccc-4db1-a874-9bf9363f7aef,20014205,董事
6e84d298-84f4-42f8-a1d4-e7dca43f96af,20028300,董事
d6e46e52-6798-467d-b96d-ea896ed6150a,20071593,董事
77311f48-2a4b-4278-906a-33032a5454e0,20125751,董事
17dd62a5-fc1a-4287-a47f-b4d6888ac923,20190570,董事
be69f7d9-f363-4891-be91-2162cb1b182c,20689592,董事
a1907536-0cf3-45e7-a137-b4a8e7f01e28,20055565,董事
b7c294b0-4b4f-4271-9ed3-e4316686fa9b,20013481,董事
7afe48a5-7d2a-4a74-b468-19ebc593d052,20702031,董事
a2e1262e-bf60-4b0f-8400-9d87eb6ed652,20055565,董事
64edd520-52c1-4f47-9475-4793e270969c,20580127,董事
380ae86a-5208-4262-ae1f-e4523638a658,20136922,董事
4bee6f5f-7ad2-4f1f-bde9-553322ec6ebc,20012207,董事
23697846-f546-4410-8ee7-93626f255f0e,20345312,董事
bd4958a8-57a2-46f9-a5dd-0d682c2f4f8d,20064477,董事
bd4958a8-57a2-46f9-a5dd-0d682c2f4f8d,20320788,董事
2a163b06-2367-43b6-9049-e2ddef334fd7,20015686,董事
6cdab923-188f-4796-9948-d7186b081173,20169308,董事
ad5aa495-17d8-4748-9afe-cd2f7499febb,20013378,董事
5db4a5ed-776b-46a5-a129-648a6f47de34,20046604,董事
ade6b228-30d0-4292-a850-4109696803bd,20684236,董事
2d61146d-57e4-42da-881c-33f86acd10ee,20185858,董事
2d990ba3-10b9-4b51-904e-f71c7ec6a676,20036841,董事
409fea81-76d7-41a1-be08-8ecf0d789b5f,20461821,董事
ce76716d-190f-4112-8d10-4727350c1a12,20060492,董事
0c396595-8d0f-4142-8ada-37b0eca377aa,20002864,董事
6a4bced9-2a54-4cc7-9575-32074d5ba565,20008961,董事
9fc4988c-d4db-42ca-b739-dcb67c79658f,20058723,董事
e24482bc-7966-475a-9a59-97661d8481ba,20357767,董事
55604f46-f260-4ab2-9eff-a8668f96a20a,20013504,董事
d8e37b82-3b5c-4e35-a420-02c5a8ad136b,20011262,董事
77311f48-2a4b-4278-906a-33032a5454e0,20220509,董事
c4344170-034f-4cad-838b-4da8b560dcf1,20000737,董事
7f1d89ba-e8a9-4463-907f-d559c9cad6b2,20059462,董事
a686a839-0a84-4e3f-921d-1bddafa8d993,20702031,董事
6e5f5e23-ec45-4cd9-a3a2-faeccd3ac909,20708835,董事
bd8f58d1-f204-4874-a126-f796b7687b0a,20260903,董事
517bd8cd-5ccc-4db1-a874-9bf9363f7aef,20003299,董事
4913f7eb-00fb-44e9-9c2c-b0d4be6e96f7,20181238,董事
936443b5-a43a-4f25-9939-4a326fafcac3,20449204,董事
5cfa4c1d-8c7a-4001-a7ce-f5c782c6f05f,20055657,董事
0c5b92c6-b789-4b40-838f-11ff74a8a437,20283647,董事
b4eebfa2-8530-4a95-aa8b-dc3e8a480f47,20014466,董事
52b302f2-e7b4-4128-8b77-b1e8cfa8f2c1,20053145,董事
205e8059-5d13-4d53-847d-4db5184016ec,20008650,董事
1b9706f4-2db6-42b9-aa92-af7ffed7fa13,20232110,董事
c911853d-dd05-4b02-a799-c5b3fe5bf67c,20509721,董事
aea36fd0-035f-4768-8d4e-4290052eacf9,20018649,董事
d430704b-0d0f-4e5e-bab3-f0b0ffafd55c,20248571,董事
6e5f5e23-ec45-4cd9-a3a2-faeccd3ac909,20051649,董事
e0663392-7f1f-40f2-8a10-b0dc20be26d4,20009320,董事
b5d6b0f2-edcf-4b72-b430-5a902d7a8169,20037892,董事
6d751a59-694e-4dbd-9f54-be1c6f2186fa,20601530,董事
7f1d89ba-e8a9-4463-907f-d559c9cad6b2,20003482,董事
6e84d298-84f4-42f8-a1d4-e7dca43f96af,20032744,董事
d587287e-a1a5-49cd-87fc-caf6cc899f70,20029831,董事
bd8f58d1-f204-4874-a126-f796b7687b0a,20152968,董事
0e8a1c5f-e52f-42dc-b91c-5c5daa1daed9,20340997,董事
5348fe29-4210-4208-a5b5-d32718bc1b4d,20438869,董事
68c33b96-5184-43e2-9783-3368bc50ccb1,20000072,董事
3d945e63-08f6-45ed-9e2b-34100d2b41a9,20302172,董事
30d70875-9b02-4a5d-9fb4-13737aee7c80,20015548,董事
36bd124c-343f-40bf-bf00-d4208b5cbf6a,20484706,董事
36bd124c-343f-40bf-bf00-d4208b5cbf6a,20073733,董事
b5d6b0f2-edcf-4b72-b430-5a902d7a8169,20593935,董事
aa454288-cff6-4e5a-a782-e783da73611d,20014795,董事
6f52fa62-c0ee-4c3f-89e0-8f34b1e3e9da,20012136,董事
dfe25d3f-5e74-4a71-b09f-7fb74b42b363,20339116,董事
32daee30-ecf6-4d98-8900-271520e65d4f,20062358,董事
9c4c8ef5-3f67-4611-846c-c903c85fb650,20061222,董事
29c04961-b9f7-4b51-89f4-a6bc681750ec,20013985,董事
2b0f198a-24ac-450e-ba6e-36c5c21b8022,20657758,董事
7096f57c-81de-4b30-aaa6-3f876edf4dc7,20318532,董事
5bd8939d-2946-4431-9b2e-abba48801f4e,20029401,董事
2343b1e2-7ecc-4589-9e5a-ad24d97e7f9b,20020621,董事
217b8b05-43c8-455f-b330-9c804f3d66a2,20030669,董事
2d2b451e-995b-4459-9846-d98ca2f040bf,20030207,董事
a6d4b331-013f-46b8-8025-47679843287d,20015720,董事
bc6f244c-02b0-4ebc-b4a6-d5d24bee4cc5,20329340,董事
55604f46-f260-4ab2-9eff-a8668f96a20a,20281754,董事
0f20c788-7dbf-4c8b-a4b1-78ca0f314934,20053374,董事
a6ef17c6-6ac8-4fbf-a337-9d82fd4c1088,20045123,董事
320f239c-4e8a-4239-b0d4-74a1499aee0a,20724593,董事
dfe25d3f-5e74-4a71-b09f-7fb74b42b363,20034088,董事
4d52686a-d4fc-4d83-8e22-242a415dedb9,20163729,董事
812728d0-c352-479b-aa54-435b195f48b7,20605184,董事
4eabfb11-ad27-40cb-a952-d3b9ecb2a1e4,20501186,董事
7dd87fe8-4bc3-4332-98a7-097a97c705fe,20566526,董事
2b63d6db-9772-435a-a2f8-cf803e3c4b55,20693948,董事
517bd8cd-5ccc-4db1-a874-9bf9363f7aef,20006193,董事
1348e2c1-acd4-4b43-ba4f-a06af321158b,20304079,董事
597df5be-0f76-4d2b-b3e5-a5cb256b2255,20027048,董事
596b27d9-9dc7-4352-b1c0-ee417cb2f2ca,20007215,董事
16fc32ed-7a7b-44e2-9edb-198417e435db,20381750,董事
302300ff-5462-4f88-b049-f4ce0b39a77d,20015159,董事
3d945e63-08f6-45ed-9e2b-34100d2b41a9,20713523,董事
0c29f988-cc0e-424a-8b74-0ba61120066f,20014982,董事
8a9ca4ab-e3d0-45ad-aa0e-e0ff534caa46,20001157,董事
1f344158-89f2-48a9-87f3-e058aca21a16,20475979,董事
84ee79ec-9d15-463e-86a5-549fe052fe38,20672928,董事
764d4cf4-6cfe-4acc-9c4c-746f52ffd3d3,20018918,董事
8e3cf619-86a3-47e1-ab7f-ecca15f11297,20053427,董事
2b8ebf9b-3f28-4104-9775-43f0222ae39e,20230805,董事
6e5f5e23-ec45-4cd9-a3a2-faeccd3ac909,20011777,董事
086247a5-a682-4697-b5c0-d4c13788cb49,20503328,董事
086247a5-a682-4697-b5c0-d4c13788cb49,20503347,董事
086247a5-a682-4697-b5c0-d4c13788cb49,20503355,董事
086247a5-a682-4697-b5c0-d4c13788cb49,20503365,董事
086247a5-a682-4697-b5c0-d4c13788cb49,20503351,董事
086247a5-a682-4697-b5c0-d4c13788cb49,20503368,董事
086247a5-a682-4697-b5c0-d4c13788cb49,20503374,监事
086247a5-a682-4697-b5c0-d4c13788cb49,20503383,监事
086247a5-a682-4697-b5c0-d4c13788cb49,20503387,监事
